time,open,high,low,close,volume
2023-08-24 07:27:00,1666.00,1666.65,1665.99,1666.52,943.672
2023-08-24 07:28:00,1666.53,1666.53,1666.31,1666.32,243.984
2023-08-24 07:29:00,1666.31,1666.45,1666.31,1666.44,305.190
2023-08-24 07:30:00,1666.45,1666.79,1665.76,1666.79,2526.056
2023-08-24 07:31:00,1666.79,1667.15,1666.50,1667.15,1147.516
2023-08-24 07:32:00,1667.15,1667.15,1666.27,1666.27,946.318
2023-08-24 07:33:00,1666.28,1666.60,1666.20,1666.36,453.802
2023-08-24 07:34:00,1666.35,1666.55,1665.13,1665.59,2389.737
2023-08-24 07:35:00,1665.59,1665.99,1665.46,1665.89,986.277
2023-08-24 07:36:00,1665.90,1666.55,1665.89,1666.02,739.876
2023-08-24 07:37:00,1666.01,1666.53,1666.01,1666.53,284.585
2023-08-24 07:38:00,1666.53,1667.44,1666.52,1667.44,2003.336
2023-08-24 07:39:00,1667.44,1667.50,1667.26,1667.27,610.907
2023-08-24 07:40:00,1667.27,1667.49,1667.26,1667.49,335.513
2023-08-24 07:41:00,1667.49,1667.81,1667.40,1667.81,996.577
2023-08-24 07:42:00,1667.80,1667.80,1667.17,1667.17,546.238
2023-08-24 07:43:00,1667.17,1667.17,1666.73,1666.73,610.211
2023-08-24 07:44:00,1666.74,1667.12,1666.73,1666.81,369.096
2023-08-24 07:45:00,1666.80,1667.01,1666.80,1666.99,727.603
2023-08-24 07:46:00,1667.00,1667.20,1666.87,1666.88,356.985
2023-08-24 07:47:00,1666.87,1666.88,1666.83,1666.83,292.953
2023-08-24 07:48:00,1666.83,1667.10,1666.60,1666.60,955.496
2023-08-24 07:49:00,1666.60,1666.60,1666.26,1666.40,415.035
2023-08-24 07:50:00,1666.40,1667.12,1666.39,1666.80,633.056
2023-08-24 07:51:00,1666.80,1667.23,1666.79,1667.23,299.486
2023-08-24 07:52:00,1667.23,1667.75,1667.23,1667.75,411.926
2023-08-24 07:53:00,1667.75,1667.87,1667.40,1667.87,589.665
2023-08-24 07:54:00,1667.87,1668.25,1667.64,1668.24,1186.906
2023-08-24 07:55:00,1668.25,1668.71,1668.00,1668.36,2733.245
2023-08-24 07:56:00,1668.36,1668.71,1668.36,1668.71,1171.606
2023-08-24 07:57:00,1668.70,1669.40,1668.63,1669.27,3236.305
2023-08-24 07:58:00,1669.26,1669.54,1669.19,1669.20,1165.399
2023-08-24 07:59:00,1669.20,1669.20,1668.91,1668.92,625.650
2023-08-24 08:00:00,1668.92,1669.14,1668.48,1668.98,2263.498
2023-08-24 08:01:00,1668.98,1669.19,1668.88,1668.89,488.529
2023-08-24 08:02:00,1668.88,1668.88,1667.84,1667.85,539.700
2023-08-24 08:03:00,1667.85,1667.85,1667.53,1667.71,656.795
2023-08-24 08:04:00,1667.70,1667.88,1667.70,1667.88,175.484
2023-08-24 08:05:00,1667.88,1667.88,1667.71,1667.71,366.999
2023-08-24 08:06:00,1667.72,1667.72,1667.64,1667.72,416.646
2023-08-24 08:07:00,1667.72,1667.94,1667.72,1667.94,185.244
2023-08-24 08:08:00,1667.94,1668.20,1667.93,1668.20,475.725
2023-08-24 08:09:00,1668.19,1668.78,1668.19,1668.47,542.999
2023-08-24 08:10:00,1668.47,1668.48,1668.07,1668.07,404.664
2023-08-24 08:11:00,1668.08,1668.08,1668.07,1668.07,99.215
2023-08-24 08:12:00,1668.08,1668.98,1668.07,1668.98,663.178
2023-08-24 08:13:00,1668.97,1668.98,1668.75,1668.75,333.343
2023-08-24 08:14:00,1668.75,1668.76,1668.75,1668.76,176.025
2023-08-24 08:15:00,1668.76,1668.76,1668.36,1668.36,501.684
2023-08-24 08:16:00,1668.36,1668.37,1668.07,1668.07,315.208
2023-08-24 08:17:00,1668.07,1668.36,1667.82,1667.83,632.966
2023-08-24 08:18:00,1667.82,1667.83,1667.82,1667.83,46.769
2023-08-24 08:19:00,1667.82,1668.96,1667.82,1668.95,1135.388
2023-08-24 08:20:00,1668.95,1669.46,1668.95,1669.46,380.486
2023-08-24 08:21:00,1669.46,1669.46,1669.13,1669.13,512.678
2023-08-24 08:22:00,1669.14,1669.38,1669.00,1669.37,468.798
2023-08-24 08:23:00,1669.38,1669.56,1669.26,1669.39,963.179
2023-08-24 08:24:00,1669.39,1669.39,1669.24,1669.25,264.279
2023-08-24 08:25:00,1669.24,1669.25,1669.24,1669.24,376.081
2023-08-24 08:26:00,1669.25,1669.25,1669.09,1669.10,221.379
2023-08-24 08:27:00,1669.10,1669.17,1669.09,1669.17,306.199
2023-08-24 08:28:00,1669.16,1669.58,1669.16,1669.26,445.980
2023-08-24 08:29:00,1669.25,1669.58,1669.25,1669.57,290.448
