,price,quantity,total
442,0.8148,333.1,1553372.4000000004
443,0.8147,839.9,1554212.3000000003
444,0.8146,159.7,1554372.0000000002
445,0.8145,2223.6,1556595.6000000003
446,0.8144,13.0,1556608.6000000003
447,0.8143,299.4,1556908.0000000002
448,0.8142,236.2,1557144.2000000002
449,0.8141,232.4,1557376.6
450,0.814,772.1,1558148.7000000002
451,0.8139,34.0,1558182.7000000002
452,0.8138,123.9,1558306.6
453,0.8137,355.7,1558662.3
454,0.8136,69.1,1558731.4000000001
455,0.8135,542.8,1559274.2000000002
456,0.8134,1731.3,1561005.5000000002
457,0.8133,263.9,1561269.4000000001
458,0.8132,8.7,1561278.1
459,0.8131,88.1,1561366.2000000002
460,0.813,678.9,1562045.1
461,0.8129,144.5,1562189.6
462,0.8128,146.1,1562335.7000000002
463,0.8127,419.3,1562755.0000000002
464,0.8126,672.6,1563427.6000000003
465,0.8125,2965.4,1566393.0000000002
466,0.8124,214.3,1566607.3000000003
467,0.8123,887.8,1567495.1000000003
468,0.8122,3223.5,1570718.6000000003
469,0.8121,698.8,1571417.4000000004
470,0.812,1459.1,1572876.5000000005
471,0.8119,63.7,1572940.2000000004
472,0.8118,34.3,1572974.5000000005
473,0.8117,1709.3,1574683.8000000005
474,0.8116,100.0,1574783.8000000005
475,0.8115,44.1,1574827.9000000006
476,0.8114,150.3,1574978.2000000007
477,0.8113,331.6,1575309.8000000007
478,0.8112,101.0,1575410.8000000007
479,0.8111,4237.5,1579648.3000000007
480,0.811,7293.2,1586941.5000000007
481,0.8109,223.3,1587164.8000000007
482,0.8108,41.3,1587206.1000000008
483,0.8107,131.0,1587337.1000000008
484,0.8106,120.9,1587458.0000000007
485,0.8105,172.6,1587630.6000000008
486,0.8104,149.6,1587780.200000001
487,0.8103,1021.0,1588801.200000001
488,0.8102,323.0,1589124.200000001
489,0.8101,2752.8,1591877.000000001
490,0.81,54247.3,1646124.300000001
491,0.8099,314.7,1646439.000000001
492,0.8098,31.4,1646470.4000000008
493,0.8097,68.6,1646539.000000001
494,0.8096,143.3,1646682.300000001
495,0.8095,110.1,1646792.400000001
496,0.8094,143.8,1646936.2000000011
497,0.8093,163.8,1647100.0000000012
498,0.8092,260.1,1647360.1000000013
499,0.8091,94.7,1647454.8000000012
500,0.809,1966.0,1649420.8000000012
501,0.8089,301.8,1649722.6000000013
502,0.8088,15693.0,1665415.6000000013
503,0.8087,216.5,1665632.1000000013
504,0.8086,90.5,1665722.6000000013
505,0.8085,228.8,1665951.4000000013
506,0.8084,102.9,1666054.3000000012
507,0.8083,269.8,1666324.1000000013
508,0.8082,150.8,1666474.9000000013
509,0.8081,43.9,1666518.8000000012
510,0.808,5000.8,1671519.6000000013
511,0.8079,176.5,1671696.1000000013
512,0.8078,135.5,1671831.6000000013
513,0.8077,373.5,1672205.1000000013
514,0.8076,158.5,1672363.6000000013
515,0.8075,272.1,1672635.7000000014
516,0.8074,44.8,1672680.5000000014
517,0.8073,120.5,1672801.0000000014
518,0.8072,44.5,1672845.5000000014
519,0.8071,85.4,1672930.9000000013
520,0.807,79.8,1673010.7000000014
521,0.8069,215.5,1673226.2000000014
522,0.8068,38.3,1673264.5000000014
523,0.8067,842.5,1674107.0000000014
524,0.8066,435.6,1674542.6000000015
525,0.8065,1388.5,1675931.1000000015
526,0.8064,108.1,1676039.2000000016
527,0.8063,562.7,1676601.9000000015
528,0.8062,127.3,1676729.2000000016
529,0.8061,131.4,1676860.6000000015
530,0.806,2738.9,1679599.5000000014
531,0.8059,140.7,1679740.2000000014
532,0.8058,2209.4,1681949.6000000013
533,0.8057,388.1,1682337.7000000014
534,0.8056,820.4,1683158.1000000013
535,0.8055,374.3,1683532.4000000013
536,0.8054,86.4,1683618.8000000012
537,0.8053,160.5,1683779.3000000012
538,0.8052,69.3,1683848.6000000013
539,0.8051,63.2,1683911.8000000012
540,0.805,17743.4,1701655.2000000011
541,0.8049,65.3,1701720.5000000012
542,0.8048,260.2,1701980.7000000011
543,0.8047,66.6,1702047.3000000012
544,0.8046,130.1,1702177.4000000013
545,0.8045,155.7,1702333.1000000013
546,0.8044,295.3,1702628.4000000013
547,0.8043,256.2,1702884.6000000013
548,0.8042,141.7,1703026.3000000012
549,0.8041,1170.9,1704197.2000000011
550,0.804,275.7,1704472.900000001
551,0.8039,489.9,1704962.800000001
552,0.8038,107.7,1705070.500000001
553,0.8037,144.0,1705214.500000001
554,0.8036,19.4,1705233.9000000008
555,0.8035,6313.3,1711547.200000001
556,0.8034,169.4,1711716.6000000008
557,0.8033,233.1,1711949.700000001
558,0.8032,503.8,1712453.500000001
559,0.8031,360.0,1712813.500000001
