spot_pairs,futures_usdt_pairs,futures_coin_pairs
USDCBUSD,,
TUSDBUSD,,
PAXBUSD,,
CKBBTC,,
CKBBUSD,,
CKBUSDT,,
TWTBTC,,
TWTBUSD,,
TWTUSDT,,
FIROBTC,,
FIROETH,,
FIROUSDT,,
BETHETH,,
DOGEEUR,,
DOGETRY,,
DOGEAUD,,
DOGEBRL,,
DOTNGN,,
PROSETH,,
LITBTC,,
LITBUSD,,
LITUSDT,,
BTCVAI,,
BUSDVAI,,
SFPBTC,,
SFPBUSD,,
SFPUSDT,,
DOGEGBP,,
DOTTRY,,
FXSBTC,,
FXSBUSD,,
DODOBTC,,
DODOBUSD,,
DODOUSDT,,
FRONTBTC,,
EASYBTC,,
CAKEBTC,,
CAKEUSDT,,
BAKEBUSD,,
UFTETH,,
UFTBUSD,,
1INCHBUSD,,
BANDBUSD,,
GRTBUSD,,
IOSTBUSD,,
OMGBUSD,,
REEFBUSD,,
ACMBTC,,
ACMBUSD,,
ACMUSDT,,
AUCTIONBTC,,
AUCTIONBUSD,,
PHABTC,,
PHABUSD,,
DOTGBP,,
ADATRY,,
ADABRL,,
ADAGBP,,
TVKBTC,,
TVKBUSD,,
BADGERBTC,,
BADGERBUSD,,
BADGERUSDT,,
FISBTC,,
FISBUSD,,
FISUSDT,,
DOTBRL,,
ADAAUD,,
HOTTRY,,
EGLDEUR,,
OMBTC,,
OMBUSD,,
OMUSDT,,
PONDBTC,,
PONDBUSD,,
PONDUSDT,,
