,ATOMUSDT,AXSUSDT,date,rolling_hedge_ratio,calculated_spread,rolling_mean_spread,rolling_std_spread,z_score,trading_signal,symbol_one_position,symbol_two_position,portfolio_value,returns
1154,7.365,4.57,2023-09-19 13:00:00,0.6014214959544517,0.14053068229546373,-0.36281274769386607,0.33281264293404283,1.5123927551306484,-1,801.595315937111,-1114.9837286904278,10184.321026294368,0.0009307011217549527
1155,7.427,4.58,2023-09-19 14:00:00,0.5949191255441835,0.16153565458334995,-0.3286150204382923,0.33220445467640175,1.4754488331563613,-1,801.595315937111,-1114.9837286904278,10222.870098595566,0.003777993543250053
1156,7.554,4.61,2023-09-19 15:00:00,0.5864729559210714,0.17978329097222634,-0.29317665461325554,0.32766026265071024,1.4434461529125453,-1,801.595315937111,-1114.9837286904278,10291.223191858866,0.006664037767138732
1157,7.553,4.59,2023-09-19 16:00:00,0.5777996156493458,0.22587950300049098,-0.2570576863413814,0.3229755664393113,1.4952746880083843,-1,801.595315937111,-1114.9837286904278,10312.721271116738,0.0020867933417300366
1158,7.519,4.55,2023-09-19 17:00:00,0.5684276941084643,0.2759921679984565,-0.2207267078708823,0.3194560273571866,1.5548896665955,-1,801.595315937111,-1114.9837286904278,10330.066379522494,0.0016805009847807575
1159,7.534,4.54,2023-09-19 18:00:00,0.5585278267257077,0.3320513534485183,-0.18181996069116957,0.3130575962181287,1.6414593363888175,-1,801.595315937111,-1114.9837286904278,10353.240146548453,0.0022408193480633956
1160,7.557,4.54,2023-09-19 19:00:00,0.548172399601997,0.3974611762077078,-0.14354237565911146,0.31127902477485575,1.738001949402535,-1,801.595315937111,-1114.9837286904278,10371.676838815007,0.0017791817591358114
1161,7.534,4.53,2023-09-19 20:00:00,0.5387467912165825,0.47108167497426745,-0.1045779558600131,0.3126583620132865,1.8411777862823246,-1,801.595315937111,-1114.9837286904278,10364.389983835357,-0.0007028194249102057
1162,7.528,4.56,2023-09-19 21:00:00,0.53018360319317,0.5687778351618156,-0.06437746708814367,0.319271933444835,1.9831223353034197,-1,801.595315937111,-1114.9837286904278,10326.13090007902,-0.003698227567726585
1163,7.535,4.57,2023-09-19 22:00:00,0.5215692940149275,0.6399753695975217,-0.023163420994659935,0.32790665776536637,2.0223401229830795,-1,801.595315937111,-1114.9837286904278,10320.592230003676,-0.0005365180879607639
1164,7.503,4.57,2023-09-19 23:00:00,0.5139502769360732,0.7138310721486429,0.018906800697277074,0.3389884296800356,2.0499940723855703,-1,801.595315937111,-1114.9837286904278,10294.941179893689,-0.00248851803515854
1165,7.466,4.58,2023-09-20 00:00:00,0.5071315370030675,0.7937559447350981,0.06158702167959628,0.35343810340895404,2.0715619396823444,-1,801.595315937111,-1114.9837286904278,10254.132315917112,-0.003971849887397329
1166,7.505,4.59,2023-09-20 01:00:00,0.49979358416089276,0.8390491508725,0.10585770030536507,0.3650726135727098,2.0083441575962215,-1,801.595315937111,-1114.9837286904278,10274.244695951755,0.001959471658006622
1167,7.457,4.53,2023-09-20 02:00:00,0.4923541646997929,0.8585149938336447,0.14919571455835995,0.3748780076183461,1.8921336137632936,-1,801.595315937111,-1114.9837286904278,10302.6671445082,0.0027625590130195233
1168,7.412,4.51,2023-09-20 03:00:00,0.48509408671100995,0.9144826292979942,0.19329973435452172,0.3846898799659698,1.8747124177201366,-1,801.595315937111,-1114.9837286904278,10288.895029864838,-0.0013376466127506296
1169,7.4,4.52,2023-09-20 04:00:00,0.4780623235016415,0.982338806087852,0.23857968048088948,0.3951650564597162,1.8821480124540881,-1,801.595315937111,-1114.9837286904278,10268.12604878669,-0.0020206223523518904
1170,7.388,4.52,2023-09-20 05:00:00,0.47134303300056996,1.0377176721917887,0.28542348215899416,0.4040249692106612,1.8619992509436798,-1,801.595315937111,-1114.9837286904278,10258.506904995444,-0.000937235494689595
1171,7.368,4.52,2023-09-20 06:00:00,0.4650496925844943,1.0935138650374454,0.3329359838624328,0.4126489560671677,1.8431595912027747,-1,801.595315937111,-1114.9837286904278,10242.474998676702,-0.0015640138274442895
