time,xrp_close,theta_close
2022-06-14 8:30:00,0.3113,1.149
2022-06-14 9:30:00,0.3138,1.142
2022-06-14 10:30:00,0.315,1.151
2022-06-14 11:30:00,0.3174,1.142
2022-06-14 12:30:00,0.3215,1.159
2022-06-14 13:30:00,0.3167,1.131
2022-06-14 14:30:00,0.3169,1.111
2022-06-14 15:30:00,0.3183,1.119
2022-06-14 16:30:00,0.3194,1.13
2022-06-14 17:30:00,0.3149,1.117
2022-06-14 18:30:00,0.3125,1.111
2022-06-14 19:30:00,0.3151,1.126
2022-06-14 20:30:00,0.3212,1.144
2022-06-14 21:30:00,0.3182,1.122
2022-06-14 22:30:00,0.3221,1.141
2022-06-14 23:30:00,0.3182,1.132
2022-06-15 0:30:00,0.3131,1.098
2022-06-15 1:30:00,0.3065,1.077
2022-06-15 2:30:00,0.305,1.067
2022-06-15 3:30:00,0.3074,1.077
2022-06-15 4:30:00,0.3044,1.056
2022-06-15 5:30:00,0.3015,1.029
2022-06-15 6:30:00,0.3022,1.038
2022-06-15 7:30:00,0.3059,1.066
2022-06-15 8:30:00,0.3093,1.105
2022-06-15 9:30:00,0.31,1.103
2022-06-15 10:30:00,0.3137,1.119
2022-06-15 11:30:00,0.3086,1.102
2022-06-15 12:30:00,0.3117,1.12
2022-06-15 13:30:00,0.3052,1.063
2022-06-15 14:30:00,0.3101,1.113
2022-06-15 15:30:00,0.3197,1.187
2022-06-15 16:30:00,0.323,1.219
2022-06-15 17:30:00,0.3258,1.258
2022-06-15 18:30:00,0.3335,1.295
2022-06-15 19:30:00,0.3409,1.31
2022-06-15 20:30:00,0.3433,1.342
2022-06-15 21:30:00,0.3411,1.328
2022-06-15 22:30:00,0.337,1.306
2022-06-15 23:30:00,0.3379,1.309
2022-06-16 0:30:00,0.3346,1.309
2022-06-16 1:30:00,0.3357,1.304
2022-06-16 2:30:00,0.3342,1.283
2022-06-16 3:30:00,0.3309,1.261
2022-06-16 4:30:00,0.3238,1.241
2022-06-16 5:30:00,0.3263,1.238
2022-06-16 6:30:00,0.319,1.176
2022-06-16 7:30:00,0.3171,1.163
2022-06-16 8:30:00,0.3148,1.155
2022-06-16 9:30:00,0.3172,1.151
2022-06-16 10:30:00,0.3132,1.142
2022-06-16 11:30:00,0.3115,1.148
2022-06-16 12:30:00,0.3165,1.173
2022-06-16 13:30:00,0.3177,1.228
2022-06-16 14:30:00,0.3156,1.211
2022-06-16 15:30:00,0.3169,1.222
2022-06-16 16:30:00,0.3146,1.191
2022-06-16 17:30:00,0.3179,1.211
2022-06-16 18:30:00,0.3162,1.205
2022-06-16 19:30:00,0.3111,1.164
2022-06-16 20:30:00,0.3129,1.193
2022-06-16 21:30:00,0.3203,1.206
2022-06-16 22:30:00,0.3287,1.24
2022-06-16 23:30:00,0.3253,1.217
2022-06-17 0:30:00,0.3234,1.201
2022-06-17 1:30:00,0.3276,1.24
2022-06-17 2:30:00,0.3293,1.235
2022-06-17 3:30:00,0.3348,1.249
2022-06-17 4:30:00,0.3357,1.263
2022-06-17 5:30:00,0.3334,1.239
2022-06-17 6:30:00,0.3282,1.223
2022-06-17 7:30:00,0.3294,1.238
2022-06-17 8:30:00,0.3251,1.221
2022-06-17 9:30:00,0.3224,1.205
2022-06-17 10:30:00,0.3256,1.223
2022-06-17 11:30:00,0.3217,1.203
2022-06-17 12:30:00,0.3211,1.204
2022-06-17 13:30:00,0.3185,1.192
2022-06-17 14:30:00,0.3194,1.2
2022-06-17 15:30:00,0.3184,1.204
2022-06-17 16:30:00,0.3173,1.192
2022-06-17 17:30:00,0.3206,1.22
2022-06-17 18:30:00,0.3212,1.205
2022-06-17 19:30:00,0.3209,1.208
2022-06-17 20:30:00,0.3208,1.206
2022-06-17 21:30:00,0.3233,1.208
2022-06-17 22:30:00,0.3182,1.175
