,timestamp,THETAUSDT,XRPUSDT,hedge_ratio,calculated_spread,rolling_mean_spread,rolling_std_spread,z_score,trading_signal,strategy_returns,cumulative_strategy_returns
210,1697720400000,0.573,0.4829,0.8224410889456917,0.011641256034118697,0.000980618888501395,0.005320862851769636,2.0035542058881934,-1,-0.0020137060354694647,0.9968522417505269
211,1697724000000,0.573,0.4861,0.8227923895176608,0.014639960806380414,0.001197247693226412,0.005475185448610173,2.4552069038257534,-1,-0.0029987047722617177,0.9938629761759498
212,1697727600000,0.573,0.4869,0.8231482249760772,0.015236067088707783,0.0014146836632325706,0.005639207877997878,2.4509441262843286,-1,-0.0005961062823273688,0.9932705282120786
213,1697731200000,0.57,0.4859,0.8235209909690784,0.016493035147625346,0.0016413868569078339,0.005829637064420613,2.5476111336947462,-1,-0.0012569680589175625,0.9920220188842518
214,1697734800000,0.568,0.4868,0.8239565165414572,0.018792698604452374,0.0019040519585997574,0.006061939060285705,2.7860139268797988,-1,-0.002299663456827028,0.9897407020990558
215,1697738400000,0.565,0.488,0.8244912185077976,0.02216246154309437,0.002224297191740497,0.006358511142682643,3.1356655518798067,-1,-0.003369762938641996,0.9864055105622569
216,1697742000000,0.566,0.4889,0.8250466359183749,0.02192360407019983,0.002551249035327471,0.006604534488612858,2.933190078463972,-1,0.00023885747289453807,0.986641120889759
217,1697745600000,0.566,0.5033,0.8258677500560488,0.035858853468276386,0.003037469788755568,0.007390427071554669,4.441067256566058,-1,-0.013935249398076555,0.9728920308037624
218,1697749200000,0.563,0.506,0.826776880508415,0.040524616273762415,0.003572675043291432,0.00829678026918191,4.453768815323173,-1,-0.004665762805486029,0.9683527473526844
219,1697752800000,0.563,0.5086,0.8277474528311686,0.04257818405605218,0.004137470058581853,0.009167185703225233,4.193295002625067,-1,-0.002053567782289767,0.9663641693488292
220,1697756400000,0.565,0.5197,0.8288644241055885,0.05139160038034263,0.0047815800318725945,0.01036421312310656,4.49720782415744,-1,-0.008813416324290446,0.9578471996034809
221,1697760000000,0.565,0.5171,0.8299547345526691,0.048175574977742,0.005399169849757018,0.011248092314794561,3.8029920035170215,-1,0.0032160254026006307,0.9609276605292155
222,1697763600000,0.57,0.5156,0.8308956744627993,0.041989465556204364,0.005915215932967917,0.011840715657844801,3.0466274730055067,-1,0.006186109421537633,0.9668720641834314
223,1697767200000,0.581,0.5196,0.8317968476261353,0.036326031529215375,0.006390241348746957,0.012192382989716817,2.455286239426417,-1,0.005663434026988989,0.9723478803314729
224,1697770800000,0.583,0.5205,0.8326453006755159,0.035067789706174246,0.006826820729790432,0.01250743691443746,2.2579341530625654,-1,0.0012582418230411285,0.9735713291010514
225,1697774400000,0.581,0.5169,0.8334330345083656,0.03267540695063964,0.007222496558446393,0.012755945882298106,1.9953761663033696,-1,0.0023923827555346056,0.9759004843600756
226,1697778000000,0.581,0.5113,0.8340961252823655,0.026690151210945645,0.007538814169745556,0.012882584508374966,1.4866067463985824,-1,0.005985255739693995,0.9817414983354619
227,1697781600000,0.583,0.5126,0.8348044831105366,0.02590898634655714,0.00787308654905189,0.012965255444466426,1.391094828386353,-1,0.0007811648643885061,0.9825084002998736
228,1697785200000,0.579,0.5096,0.8353926492867605,0.025907656062965745,0.008137459232515402,0.013088505169772712,1.3576949086202585,-1,1.330283591394199e-06,0.9825097073146768
229,1697788800000,0.588,0.5143,0.8359148828675012,0.022782048873909333,0.00835524717608926,0.013167942054271515,1.0956003328660002,-1,0.003125607189056412,0.9855806467191772
230,1697792400000,0.59,0.5186,0.8365272537593325,0.025048920281993847,0.008621525740586004,0.013261226844161169,1.238753754419088,-1,-0.0022668714080845143,0.9833464621307682
231,1697796000000,0.587,0.5176,0.8372033142030805,0.026161654562791736,0.008920996641445801,0.013350313047054602,1.2914047678567087,-1,-0.001112734280797889,0.9822522588124538
232,1697799600000,0.586,0.5158,0.8378584319461237,0.024814958879571525,0.009202408213525923,0.01341601178676967,1.1637251751255966,-1,0.0013466956832202115,0.9835750536892298
233,1697803200000,0.583,0.5168,0.8385488681600572,0.027926009862686674,0.009500796138676644,0.013531277118064509,1.3616758834546387,-1,-0.003111050983115149,0.9805151015514824
234,1697806800000,0.586,0.5177,0.8392388361436787,0.0259060420198044,0.009790652131804918,0.013600780489009217,1.1848871394566156,-1,0.0020199678428822754,0.9824957105260768
235,1697810400000,0.583,0.5178,0.8399693988930694,0.028097840445340583,0.010100759507496813,0.013697215364359798,1.3139226082895825,-1,-0.0021917984255361844,0.9803422779746497
236,1697814000000,0.584,0.524,0.8408145345020734,0.032964311850789185,0.010470187163843094,0.013861365061257533,1.6227928914315295,-1,-0.0048664714054486025,0.9755714703113337
237,1697817600000,0.585,0.5187,0.8415768224256989,0.026377558880966268,0.010781357046138945,0.013901015540092928,1.121946939045222,-1,0.006586752969822918,0.9819973185906814
238,1697821200000,0.588,0.5211,0.8423452049786213,0.025801019472570685,0.011088507242952357,0.013924330240799813,1.0566046607045454,-1,0.0005765394083955822,0.9825634787437878
239,1697824800000,0.586,0.5233,0.8431760238381202,0.02919885003086159,0.0114296574305831,0.013988302712754962,1.2702893957303338,-1,-0.003397830558290904,0.9792248945302515
240,1697828400000,0.587,0.5217,0.8439639562704563,0.02629315766924223,0.01173823391808321,0.014006655744785271,1.0391433912822388,-1,0.002905692361619361,0.9820702208265956
241,1697832000000,0.585,0.522,0.8448169403884077,0.027782089872781524,0.012077497634825756,0.014021524305968583,1.1200345907663372,-1,-0.001488932203539295,0.9806079848486698
242,1697835600000,0.587,0.5208,0.8456290316474859,0.024415758422925815,0.012386019565404034,0.013983658431712795,0.8602712170257374,-1,0.0033663314498557084,0.9839090363480456
243,1697839200000,0.588,0.5202,0.846454502255879,0.022484752673543162,0.012694468424050776,0.013895593006528891,0.70456037715644,-1,0.0019310057493826527,0.9858089703541032
244,1697842800000,0.587,0.5149,0.8471649978633394,0.01761414625421981,0.01293151412689167,0.013794030757931886,0.33946800681414435,-1,0.004870606419323353,0.9906104578533365
245,1697846400000,0.586,0.5143,0.8479003480799153,0.017430396025169603,0.013177722037881841,0.013672499674601867,0.31103851442670427,-1,0.00018375022905020577,0.9907924827518666
246,1697850000000,0.588,0.5129,0.8485934888666357,0.013927028546418307,0.013390253362490763,0.013531545119062802,0.039668432481620546,-1,0.003503367478751296,0.9942635929141307
247,1697853600000,0.59,0.5123,0.8492501246382256,0.011242426463446864,0.01357440212771855,0.013385896802703526,-0.17421138819781587,0,0.0026846020829714434,0.9969327950266906
248,1697857200000,0.59,0.5139,0.8499715259966681,0.01241679966196585,0.013789075846179815,0.013207528058940893,-0.10390106143177923,0,0.0,0.9969327950266906
249,1697860800000,0.593,0.514,0.8506382120650685,0.0095715402454144,0.013966135310259985,0.013040076602234014,-0.3370068442767205,0,-0.0,0.9969327950266906
250,1697864400000,0.593,0.5127,0.8512489388479058,0.007909379263191907,0.014104789160815298,0.012906433241941255,-0.48002494426504627,0,-0.0,0.9969327950266906
251,1697868000000,0.595,0.5162,0.8518380619054233,0.009356353166273146,0.01423045566167802,0.01280296628391388,-0.38070103344167017,0,0.0,0.9969327950266906
252,1697871600000,0.596,0.5174,0.8523660848624657,0.009389813421970428,0.014320026316499692,0.012739731395302,-0.3869950426386044,0,0.0,0.9969327950266906
253,1697875200000,0.596,0.5168,0.8528821520975312,0.008482237349871524,0.014397959935551362,0.012681549588609573,-0.4664826285104207,0,-0.0,0.9969327950266906
254,1697878800000,0.598,0.5171,0.8534038297460687,0.0067645098118509495,0.014472743368126394,0.012615566542461664,-0.6110097022064729,0,-0.0,0.9969327950266906
255,1697882400000,0.596,0.5171,0.8539445250593932,0.008149063064601614,0.014554096364303102,0.012550020899644555,-0.5103603691913289,0,0.0,0.9969327950266906
256,1697886000000,0.6,0.5178,0.8543685218610764,0.005178886883354217,0.014566864758666889,0.012539773491134134,-0.7486560966950604,0,-0.0,0.9969327950266906
257,1697889600000,0.598,0.5162,0.8548076637820389,0.005025017058340797,0.014585395441964168,0.012524244992391916,-0.7633496781188007,0,-0.0,0.9969327950266906
258,1697893200000,0.602,0.5178,0.8552550816277484,0.0029364408600954794,0.014601147205634721,0.01250850804960031,-0.9325417787065317,0,-0.0,0.9969327950266906
259,1697896800000,0.606,0.5233,0.8556960702764521,0.004748181412470021,0.014612530524206063,0.012498960357819116,-0.789213568916161,0,0.0,0.9969327950266906
