ticker,date,open,high,low,close,volume,closeadj,closeunadj,lastupdated,log_returns,H-L,H-PC,L-PC,TR,ATR,ma_fast,ma_slow,macd,signal,rsi,+di,-di,dx,adx,%K,%D,rolling_mean,rolling_std,upper_band,lower_band
LND,2023-04-14,4.95,5.07,4.95,5.06,40850.0,5.06,5.06,2023-04-14,0.013930573535946783,0.1200000000000001,0.08000000000000007,0.040000000000000036,0.1200000000000001,0.17199932009292607,4.903231305848215,4.9166749960848675,-0.013443690236652373,-0.05948267022335022,62.65060240963854,45.58444231785669,15.100043804139496,50.23425336820571,30.480585062630094,80.53097345132736,74.36219988110575,4.822,0.13858685287387382,5.099173705747748,4.544826294252252
LND,2023-04-17,5.06,5.14,5.06,5.12,27031.0,5.12,5.12,2023-04-17,0.011787955752042393,0.08000000000000007,0.08000000000000007,0.0,0.08000000000000007,0.165866032086731,4.9365803357177205,4.931736107485989,0.004844228231731584,-0.04661729053233386,59.477124183006524,70.92644167988026,19.630056945381344,56.645724507052996,33.969270321886476,91.15044247787614,80.64311660450035,4.8445,0.1487659765856591,5.142031953171318,4.546968046828682
LND,2023-04-18,5.13,5.13,5.0,5.05,40791.0,5.05,5.05,2023-04-18,-0.013766195764147959,0.1299999999999999,0.009999999999999787,0.1200000000000001,0.1299999999999999,0.16347496328094893,4.954029514838071,4.940496395820361,0.013533119017710149,-0.03458720862232506,50.714285714285694,37.827435562602865,16.62320985804952,38.94210167894699,34.63231450282788,78.76106194690263,83.48082595870204,4.861,0.15248468430429227,5.165969368608584,4.556030631391415
LND,2023-04-19,5.0,5.0,4.78,4.8,45420.0,4.8,4.8,2023-04-19,-0.05077232537342326,0.21999999999999975,0.04999999999999982,0.2699999999999996,0.2699999999999996,0.17057663239555232,4.930332666401445,4.930089255389223,0.00024341101222180583,-0.027621084695415687,48.63013698630137,15.784781753283678,17.800796212371296,6.002619520644304,30.815021838536737,34.51327433628311,68.14159292035396,4.86,0.152832898084324,5.165665796168648,4.554334203831353
LND,2023-04-20,4.87,4.94,4.79,4.81,46973.0,4.81,4.81,2023-04-20,0.0020811662038244493,0.15000000000000036,0.14000000000000057,0.009999999999999787,0.15000000000000036,0.16920485690251552,4.91181994849353,4.921193754990021,-0.009373806496491,-0.02397162905563075,50.0,24.62425953512244,26.880353202410245,4.380372062566218,27.290401868407333,36.28318584070785,49.852507374631195,4.865499999999999,0.14869520220204155,5.162890404404082,4.568109595595916
LND,2023-04-21,4.81,4.89,4.8,4.84,18192.0,4.84,4.84,2023-04-21,0.006217636610870582,0.08999999999999986,0.08000000000000007,0.009999999999999787,0.08999999999999986,0.16392453310901448,4.900770725648371,4.915179402768538,-0.01440867712016658,-0.02205903866853792,51.020408163265316,35.56837488406589,37.34569536644461,2.4375548865567223,23.97668893749392,41.59292035398224,37.46312684365773,4.8785,0.13295329611325835,5.144406592226517,4.612593407773483
LND,2023-04-24,4.82,4.82,4.67,4.67,87552.0,4.67,4.67,2023-04-24,-0.03575564904773433,0.15000000000000036,0.019999999999999574,0.16999999999999993,0.16999999999999993,0.1643295642350802,4.8652675370870835,4.897017965526424,-0.03175042843934062,-0.02399731662269846,46.875000000000014,16.319607299747858,27.331162187741224,25.22648516230494,24.143328434135388,11.504424778760985,29.79351032448369,4.88,0.13026289207845385,5.140525784156908,4.619474215843092
LND,2023-04-25,4.67,4.67,4.57,4.6,217641.0,4.6,4.6,2023-04-25,-0.015102768185756742,0.09999999999999964,0.0,0.09999999999999964,0.09999999999999964,0.16004092661940816,4.824457146765994,4.875016634746689,-0.05055948798069476,-0.029309750894297725,36.55172413793102,24.044221421628585,53.6012456232722,38.066644875162375,25.999770626272323,4.999999999999896,19.365781710914373,4.868499999999999,0.14430504969831223,5.157110099396624,4.579889900603375
LND,2023-04-26,4.68,4.68,4.555,4.6,41247.0,4.6,4.6,2023-04-26,0.0,0.125,0.08000000000000007,0.04499999999999993,0.125,0.15770486484478094,4.789925278032764,4.85464503217286,-0.06471975414009545,-0.03639175154345727,47.321428571428555,16.670660185662424,38.76353029880199,39.85423061121666,27.847031957598233,7.317073170731693,7.940499316497525,4.8469999999999995,0.15086068861181928,5.148721377223638,4.545278622776361
LND,2023-04-27,4.6,4.71,4.6,4.64,31631.0,4.64,4.64,2023-04-27,0.008658062743114531,0.11000000000000032,0.11000000000000032,0.0,0.11000000000000032,0.15452454052179557,4.766859850643108,4.838745400160055,-0.07188554951694659,-0.04349051113815514,40.99999999999998,20.05443806163721,38.17620408215336,31.12067006880597,28.283517039092597,13.821138211382102,8.71273712737123,4.837,0.15781734945653128,5.1526346989130625,4.521365301086937
LND,2023-04-28,4.64,4.78,4.64,4.77,23033.0,4.77,4.77,2023-04-28,0.027631938662085884,0.14000000000000057,0.14000000000000057,0.0,0.14000000000000057,0.15355623782034256,4.767342950544168,4.833653148296347,-0.06631019775217872,-0.04805444846095987,49.09090909090907,20.32278401340056,25.99617706546631,12.248532609368578,26.145519115129392,34.9593495934959,18.699186991869897,4.835,0.15842979517758402,5.151859590355168,4.518140409644832
LND,2023-05-01,4.81,4.82,4.7,4.72,15869.0,4.72,4.72,2023-05-01,-0.010537505302785799,0.1200000000000001,0.05000000000000071,0.0699999999999994,0.1200000000000001,0.1513191552989864,4.760059419691219,4.825234396570691,-0.06517497687947227,-0.051478554144662354,40.19607843137254,24.99303716910508,26.285023477304904,2.5195693673143573,22.995392482087386,26.829268292682922,25.20325203252031,4.8305,0.160442644285347,5.151385288570694,4.509614711429306
LND,2023-05-02,4.81,4.81,4.55,4.59,38667.0,4.59,4.59,2023-05-02,-0.02792877552501015,0.2599999999999998,0.08999999999999986,0.16999999999999993,0.2599999999999998,0.15856454494572064,4.733896432046416,4.807809626454344,-0.0739131944079281,-0.055965482197315515,31.481481481481467,9.997214867642048,18.2063170832297,29.10664603953589,23.810226289747185,6.77966101694916,22.85609296770933,4.8215,0.16884359003156754,5.159187180063135,4.483812819936865
LND,2023-05-03,4.66,4.67,4.56,4.61,49003.0,4.61,4.61,2023-05-03,0.0043478329361034225,0.11000000000000032,0.08000000000000007,0.03000000000000025,0.11000000000000032,0.15532690861600595,4.714835442500814,4.7931570615318,-0.07832161903098633,-0.06043670956404968,32.72727272727275,20.47914318341212,36.083243479585576,27.5874149178741,24.313851440164107,10.169491525423815,14.592806945018632,4.8025,0.1702590904907812,5.143018180981563,4.461981819018438
LND,2023-05-04,4.64,4.65,4.545,4.62,46631.0,4.62,4.62,2023-05-04,0.002166848085090293,0.10500000000000043,0.040000000000000036,0.06500000000000039,0.10500000000000043,0.1519717813749389,4.7002453744237656,4.780330612529444,-0.08008523810567869,-0.0643664152723755,28.846153846153882,18.59376174747892,34.66605598463951,30.177148404824838,25.09562436878554,12.605042016806758,9.851398186393245,4.8004999999999995,0.17224447130386514,5.14498894260773,4.456011057392269
LND,2023-05-05,4.73,4.79,4.64,4.76,50483.0,4.76,4.76,2023-05-05,0.02985296314968113,0.15000000000000036,0.16999999999999993,0.019999999999999574,0.16999999999999993,0.15317366261660967,4.709438393743186,4.778824641230967,-0.0693862474877811,-0.06537038171545662,33.928571428571416,20.933523445219134,18.556535850601232,6.0192049265154735,22.552101776482864,36.75213675213673,19.842223431455768,4.7975,0.17240939649569909,5.142318792991398,4.452681207008602
