,VCSH,HYG,calculated_spread,rolling_mean_spread,rolling_std_spread,z_score,trading_signal,symbol_one_position,symbol_two_position,portfolio_value,returns
106,74.556,72.293,-42.10952044176075,-42.10009702394882,0.07264302622828936,-0.1297222638043269,0,0.0,0.0,10212.41818408445,0.0
107,74.771,72.225,-42.50742738278467,-42.15833984378937,0.19785218106056374,-1.7643855990065695,1,-108.4835870967904,70.69863748068155,10212.41818408445,0.0
108,74.742,72.447,-42.24092830701866,-42.18733350815207,0.19704592538123952,-0.27199140892102763,1,-108.4835870967904,70.69863748068155,10231.259305630969,0.0018432228634346572
109,74.87,72.65,-42.23433802074452,-42.22459087315831,0.18109230536325818,-0.05382419516197319,1,-108.4835870967904,70.69863748068155,10231.725229891159,4.553825073386873e-05
110,75.115,72.534,-42.726278488422906,-42.3636985281463,0.24926661374879225,-1.4545869373505775,1,-108.4835870967904,70.69863748068155,10196.945709104686,-0.0034049747526614196
111,75.017,72.254,-42.85590230135155,-42.51297490006446,0.28052462352385255,-1.2224502682843221,1,-108.4835870967904,70.69863748068155,10187.78148214558,-0.0008991268306426564
112,74.83,72.495,-42.32795998520517,-42.47708142054856,0.2926321462290254,0.5095866509029418,0,0.0,0.0,10225.106284565525,0.00365698811884269
113,75.017,72.805,-42.30490230135155,-42.48987621941514,0.28088837359965557,0.6585317707995643,0,0.0,0.0,10225.106284565525,0.0
114,74.784,72.472,-42.28037524433496,-42.49908366413323,0.2709982085191596,0.807047474569581,0,0.0,0.0,10225.106284565525,0.0
115,75.0,72.404,-42.67981663624735,-42.48979129369811,0.2619042259901728,-0.7255527925554397,0,0.0,0.0,10225.106284565525,0.0
116,75.227,72.365,-43.06713698793307,-42.532038231014425,0.340859962642153,-1.569849250615593,1,-108.40823204026618,70.64952867108082,10225.106284565525,0.0
117,75.256,72.152,-43.32463606369906,-42.7313734467132,0.4616905915775951,-1.2849787884104038,1,-108.40823204026618,70.64952867108082,10206.914096229419,-0.0017807532299269199
118,75.049,72.54,-42.61900472978303,-42.794193932399494,0.40732353019873213,0.43009840980949726,0,0.0,0.0,10256.766617386133,0.004872302346432329
119,74.887,72.336,-42.57442368584873,-42.853003620702246,0.32811821531558255,0.8490230711074086,0,0.0,0.0,10256.766617386133,0.0
120,74.882,72.152,-42.750751431406314,-42.86719057973404,0.32019590975132556,0.36364970563852267,0,0.0,0.0,10256.766617386133,0.0
121,75.177,72.589,-42.76641444350889,-42.80704607084921,0.30091200384069966,0.13502827013118368,0,0.0,0.0,10256.766617386133,0.0
122,75.236,72.472,-42.97394704592942,-42.73690826729528,0.15616666863424072,-1.5178576882453352,1,-108.58334700997614,70.76365090922103,10256.766617386133,0.0
123,75.049,72.21,-42.94900472978304,-42.80290826729528,0.1634440109113728,-0.8938624405575949,1,-108.58334700997614,70.76365090922103,10258.531626738783,0.0001720676283622445
124,75.03,72.191,-42.93885016290184,-42.8757935627059,0.10789977108180099,-0.5843997588107745,1,-108.58334700997614,70.76365090922103,10259.250200964696,7.004404591493788e-05
125,74.892,71.686,-43.23209594029113,-42.97206246448286,0.16699310227091263,-1.5571509976886295,1,-108.58334700997614,70.76365090922103,10238.499059142918,-0.002024724631722282
126,74.804,71.88,-42.90306426210462,-42.99939242820201,0.1325535680778945,0.7267112269718718,0,0.0,0.0,10261.782541956183,0.0022715290724213116
127,74.636,71.919,-42.606276512839415,-42.92585832158401,0.22200119644528668,1.4395499387470951,0,0.0,0.0,10261.782541956183,0.0
128,74.622,71.997,-42.50679420040066,-42.837416215707535,0.28857714561442444,1.1456971570043353,0,0.0,0.0,10261.782541956183,0.0
129,74.617,72.317,-42.17912194595826,-42.68547057231882,0.40022874181557727,1.2651480852264343,0,0.0,0.0,10261.782541956183,0.0
130,74.666,71.938,-42.63331003949392,-42.565713392159374,0.26122054875914263,-0.25877231961898245,0,0.0,0.0,10261.782541956183,0.0
131,74.518,71.434,-42.910211307998395,-42.56714280133813,0.263537326050658,-1.3017833632960236,0,0.0,0.0,10261.782541956183,0.0
132,74.341,71.385,-42.68761350073683,-42.58341019891761,0.26901035751687413,-0.3873579544708877,0,0.0,0.0,10261.782541956183,0.0
133,74.351,71.822,-42.265958009621684,-42.53524296076182,0.3052751860648303,0.8821055999060111,0,0.0,0.0,10261.782541956183,0.0
