,VCSH,HYG,rolling_hedge_ratio,calculated_spread,rolling_mean_spread,rolling_std_spread,z_score,trading_signal,symbol_one_position,symbol_two_position,portfolio_value,current_hedge_ratio,returns
151,78.076,77.413,1.3772921711580708,-30.120463555337523,-65.45064494045239,19.05993815805053,1.8536356777313108,-1,991.9906519671531,-639.5768903160879,100111.28645072388,1.5510107807004994,-0.00023361682492283696
152,78.095,77.652,1.3346252503856995,-26.575558928871203,-63.78889265102483,20.20846579303561,1.8414724850106314,-1,991.9906519671531,-639.5768903160879,100245.29750512206,1.5510107807004994,0.0013377256862416496
153,78.066,77.732,1.338802280631746,-26.78293883979788,-62.02511800573458,21.063248313156446,1.673159744497902,-1,991.9906519671531,-639.5768903160879,100325.23138525437,1.5510107807004994,0.0007970651003061512
154,78.095,77.723,1.3842113073563553,-30.376982047994574,-60.18932176948262,21.34922005723995,1.3964135289981274,-1,991.9906519671531,-639.5768903160879,100290.7074643345,1.5510107807004994,-0.0003441792457634056
155,78.133,77.82,1.4878464136688998,-38.42990383919215,-58.50412341099966,20.990081299039353,0.9563669280655069,-1,991.9906519671531,-639.5768903160879,100315.05077792039,1.5510107807004994,0.0002426980553168007
156,78.161,77.829,1.5818120389479402,-45.807010776209964,-57.03636760700139,20.24981218979185,0.5545412829286518,-1,991.9906519671531,-639.5768903160879,100293.03123167815,1.5510107807004994,-0.0002195280081449076
157,78.107,77.98,1.650656431802703,-50.947821918813716,-55.694579172768634,19.2151124620898,0.24703249920186363,0,0.0,0.0,100443.17483732212,1.0,0.001495929773542863
158,78.164,78.105,1.7376035697868357,-57.71304542881823,-54.62200304860479,18.106588783620055,-0.1707136787140008,0,0.0,0.0,100443.17483732212,1.0,0.0
159,78.23,78.06,1.857752637178034,-67.2719888064376,-54.016716977501886,17.327943658310772,-0.7649650812765811,0,0.0,0.0,100443.17483732212,1.0,0.0
160,78.249,78.087,1.9877240678016361,-77.4504205814102,-53.83699383975607,17.04430050263124,-1.3854148334223966,0,0.0,0.0,100443.17483732212,1.0,0.0
161,78.277,77.918,2.0656709444834562,-83.77652452133151,-53.96447979177368,17.25931472868015,-1.7273017612929071,0,0.0,0.0,100443.17483732212,1.0,0.0
162,78.254,78.051,2.1547796559340195,-90.56912719546078,-54.39149465741219,18.01043791324844,-2.0087036590840697,1,-1386.4838997378993,643.4457908119186,100443.17483732212,2.1547796559340195,0.0
163,78.23,78.025,2.2693754103012167,-99.5082383478642,-55.19636033677422,19.46102498111825,-2.276954993587587,1,-1386.4838997378993,643.4457908119186,100426.62881428952,2.1547796559340195,-0.00016474375709269232
164,78.154,77.794,2.35695272943419,-106.4112836161997,-56.36503532051896,21.418839718424472,-2.336552724311718,1,-1386.4838997378993,643.4457908119186,100469.89201558697,2.1547796559340195,0.00043070135597688975
165,78.221,77.918,2.451042140045443,-113.8049672364946,-57.8251039930879,23.74696668013054,-2.357347950896227,1,-1386.4838997378993,643.4457908119186,100482.99915880876,2.1547796559340195,0.00013044990956610097
166,78.23,77.865,2.4563079935782515,-114.29197433762663,-59.389643075136476,25.849614241702685,-2.1239129818006055,1,-1386.4838997378993,643.4457908119186,100529.58014081942,2.1547796559340195,0.00046346336141506753
167,78.211,77.759,2.4996781974882234,-117.74333150375143,-61.14682018408598,27.952302769805442,-2.024753086919264,1,-1386.4838997378993,643.4457908119186,100571.44220055046,2.1547796559340195,0.0004163286675353664
168,78.287,77.235,2.38604684789105,-109.56144958084666,-62.673496646771035,29.31742157871216,-1.5993204862231711,1,-1386.4838997378993,643.4457908119186,101013.980571316,2.1547796559340195,0.004390586140509307
169,78.325,77.626,2.3666015664585167,-107.73806769286332,-64.13848483389103,30.451211303629456,-1.431784845083509,1,-1386.4838997378993,643.4457908119186,100815.07965529857,2.1547796559340195,-0.001970984556779193
170,78.287,77.812,2.4048254849060937,-110.45457273684339,-65.69744005271653,31.602638892924894,-1.4162466886316558,1,-1386.4838997378993,643.4457908119186,100642.71235001752,2.1547796559340195,-0.0017112006006409113
171,78.353,77.856,2.421775585531345,-111.89738245313745,-67.3196374203277,32.70162110456321,-1.363166214001218,1,-1386.4838997378993,643.4457908119186,100705.90867260448,2.1547796559340195,0.000627730394588009
172,78.315,78.007,2.494025454848155,-117.31260349643324,-69.18608277798162,33.92246129856242,-1.4187213685609288,1,-1386.4838997378993,643.4457908119186,100556.06197000184,2.1547796559340195,-0.001489071480444538
173,78.325,77.892,2.5550049923901232,-122.22876602895641,-71.26873566212704,35.21638326023364,-1.4470546276787448,1,-1386.4838997378993,643.4457908119186,100643.9230749426,2.1547796559340195,0.000873370944893604
174,78.334,77.785,2.5537005120525498,-122.25657591112446,-73.59930726239332,36.219688915780694,-1.343392781806347,1,-1386.4838997378993,643.4457908119186,100725.25012965713,2.1547796559340195,0.0008077409053439335
175,78.4,77.847,2.5378543473036217,-121.12078082860397,-76.06428189838834,36.86961684877982,-1.2220495568211132,1,-1386.4838997378993,643.4457908119186,100776.86442800949,2.1547796559340195,0.0005122953631974868
176,78.382,78.016,2.574044348518735,-123.74274412559548,-78.72480388839158,37.34728708785631,-1.2053871578758328,1,-1386.4838997378993,643.4457908119186,100643.16537916698,2.1547796559340195,-0.001327564777015984
177,78.41,77.909,2.5645047334292514,-123.17381614818758,-81.48901307580057,37.4698798825245,-1.112488302686775,1,-1386.4838997378993,643.4457908119186,100750.83562797651,2.1547796559340195,0.001069249913396921
178,78.465,77.717,2.4109994420311005,-111.46207121897031,-84.01446899383453,36.82485602458488,-0.7453553167135619,1,-1386.4838997378993,643.4457908119186,100950.633834298,2.1547796559340195,0.0019811285679041915
179,78.484,77.806,2.291622675894075,-102.0497140948706,-86.37800875317598,35.56847401419141,-0.44060662640297105,1,-1386.4838997378993,643.4457908119186,100919.71035301074,2.1547796559340195,-0.0003063697310631396
180,78.456,77.664,2.149953371389742,-91.01274170575361,-88.38642891679326,33.98554179874524,-0.07727735530928957,0,0.0,0.0,100972.25810611338,1.0,0.0005205531917914941
181,78.37,77.841,2.092044155150438,-86.11250043913982,-90.25283014625337,32.16404016589867,0.12872542397528963,0,0.0,0.0,100972.25810611338,1.0,0.0
182,78.294,77.753,1.9201705498938777,-72.58483303339126,-91.78647261640403,30.05055532765506,0.638977861595183,0,0.0,0.0,100972.25810611338,1.0,0.0
